n1,n2,enlaces
0,2,1.0
1,23,-1.0
1,27,-1.0
2,18,1.0
2,21,1.0
5,23,-0.6666
6,18,0.6666
8,18,1.0
10,59,1.0
17,0,1.0
20,18,1.0
22,18,-1.0
23,18,-1.0
26,10,-1.0
27,2,-0.6666
34,2,1.0
34,3,-1.0
39,58,-1.0
40,2,-1.0
40,26,-0.6666
40,34,0.6666
40,59,-1.0
42,58,-1.0
49,21,0.6666
54,21,0.6666
55,18,1.0
56,18,0.6666
57,22,0.6666
