n1,n2,enlaces
0,28,-1.0
0,48,1.0
1,2,1.0
2,18,1.0
4,18,1.0
5,23,-0.3333
5,24,1.0
6,18,1.0
7,18,0.6666
9,18,1.0
18,2,1.0
18,7,1.0
18,8,0.6666
18,9,1.0
18,45,1.0
21,18,1.0
23,18,-1.0
26,4,1.0
27,18,0.3333
28,46,1.0
29,21,0.3333
32,2,1.0
33,18,1.0
34,9,1.0
34,33,1.0
38,18,1.0
40,3,-1.0
40,34,1.0
40,54,-1.0
41,0,-0.3333
41,5,-0.3333
45,7,1.0
46,45,1.0
48,24,1.0
49,11,1.0
49,29,1.0
54,21,0.3333
54,26,0.6666
54,32,1.0
54,55,-0.3333
57,7,-0.6666
