n1,n2,enlaces
0,2,0.6666
0,12,-1.0
0,15,-1.0
0,28,-1.0
0,34,-1.0
2,21,1.0
3,21,1.0
3,45,0.6666
4,2,1.0
4,18,1.0
5,23,1.0
5,27,-1.0
5,45,0.6666
5,51,-0.6666
5,54,-1.0
5,58,-1.0
6,2,0.6666
6,18,1.0
8,18,0.6666
20,0,0.6666
20,18,0.6666
21,18,1.0
23,18,-0.6666
27,2,-0.6666
30,0,-0.6666
30,34,1.0
30,36,-1.0
33,9,1.0
34,3,1.0
34,33,1.0
36,34,-1.0
41,45,0.6666
41,47,1.0
43,45,0.6666
43,61,-0.6666
60,2,0.6666
61,12,0.6666
