n1,n2,enlaces
0,11,1.0
0,24,0.6666
0,29,-0.6666
1,23,-0.6666
1,27,-1.0
1,30,-1.0
5,2,1.0
5,23,-0.6666
5,32,-1.0
5,35,-1.0
16,4,1.0
16,6,1.0
18,32,1.0
20,0,1.0
20,7,1.0
30,3,1.0
34,3,1.0
34,11,1.0
36,2,-1.0
36,34,-1.0
36,40,1.0
42,0,-0.6666
42,47,1.0
50,2,1.0
52,36,1.0
